Item Name,Min Cost ($),Max Cost ($)
iPhone 13,200,300
Canon EOS Rebel T100,350,400
Gas Push Lawn Mower,250,300
Ninja Foodi Air Fryer,120,170
KitchenAid Stand Mixer,300,450
Apple Watch Series 8,270,350
Bose QuietComfort 45,220,299
Samsung 32" Smart TV,180,250
Dyson V8 Cordless Vacuum,330,400
Instant Pot 8 Quart,100,150
Power Rack for Home Gym,300,500
Bowflex Adjustable Dumbbells,300,399
42" Ceiling Fan with Light,80,150
Ooni Pizza Oven,300,499
All-Clad Stainless Cookware Set,400,600
GoPro Hero 11,350,450
Roku Ultra Streaming Device,70,100
Electric Pressure Washer,150,250
Gaming Chair with Lumbar Support,130,200
Portable Power Station,300,500
JBL Flip 6 Bluetooth Speaker,90,130
Samsung Galaxy Tab S9,400,600
ASUS Chromebook 14",180,250
DeWalt Cordless Drill Kit,150,220
Electric Standing Desk,250,400
Brother Laser Printer,120,180
Fitbit Charge 6,110,160
Ring Doorbell Pro,150,250
Fireproof Safe Box,80,150
Massage Gun (Theragun),200,300
Baby Jogger City Mini Stroller,250,350
Wine Cooler Fridge,250,450
LG Microwave 1.5 cu ft,130,200
Robot Vacuum Cleaner,250,500
Peloton Bike Seat Upgrade Kit,80,120
Adjustable Bed Base (Twin),400,700
Blender - Vitamix E310,300,400
Outdoor Fire Pit Table,200,350
3D Printer (Creality Ender 3),200,300
Digital Piano Keyboard 88-Key,250,400
Wireless Security Camera Kit,250,450
Air Purifier (HEPA),100,200
Dual Monitor Arm Mount,90,140
Logitech MX Master 3 Mouse,90,130
Samsung 1TB SSD (Portable),100,150
Portable Projector,200,400
Blackstone Griddle,250,400
Patio Furniture Set (4-Piece),350,600
Car Jump Starter with Air Compressor,90,150
Wacom Drawing Tablet,150,300
Electric Scooter,400,600
Smart Thermostat (Nest),120,200
Weighted Blanket (Queen),80,130
Dog Crate (Large),100,200
Electric Griddle,60,100
Camping Tent (4-person),120,200
Adjustable Barbell Set,250,400
Smart Lock (WiFi Enabled),150,250
Air Fryer Oven Combo,130,200
Gaming Monitor 27",250,400
Mac Mini (M1),500,700
Portable AC Unit,300,500
Inflatable Hot Tub (4-person),400,600
Kids Bunk Bed Frame,200,350
Adjustable Standing Desk Converter,100,200
Flat Weight Bench,80,120
Portable Car Battery Charger,50,100
Outdoor Storage Shed (Plastic),350,600
Hair Dryer (Dyson),350,450
Drone with 4K Camera,300,500
Washer/Dryer Pedestal,150,250
Espresso Machine,250,500
Electric Kettle with Temp Control,60,120
Bluetooth Record Player,90,160
Camping Stove (Propane),80,120
UV Nail Lamp,40,80
Dog Grooming Kit,50,100
High Chair (Foldable),100,200
Heated Blanket,60,120
VR Headset (Meta Quest 2),250,350
Compact Dishwasher (Countertop),300,500
Folding Treadmill,400,700
Bluetooth Shower Speaker,30,60
Ergonomic Office Chair,200,400
Smart Mirror for Fitness,500,800
Ice Maker Machine,200,350
Electric Chainsaw,120,200
Portable Bluetooth Keyboard,40,80
Inflatable Kayak (2-person),300,500
Digital Camera for Kids,50,90
Wall Mounted Electric Fireplace,250,400
